,p_value,batch_size,number_of_epochs,act,act_fin,train_score,val_score
137,0.3,400,1750,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
138,0.3,400,1800,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
139,0.3,400,1850,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
140,0.3,400,1900,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
141,0.3,400,1950,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
142,0.3,400,2000,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
143,0.3,400,2050,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
144,0.3,400,2100,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
145,0.3,400,2150,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
146,0.3,400,2200,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
147,0.3,400,2250,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
148,0.3,400,2300,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
149,0.3,400,2350,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
150,0.3,400,2400,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
151,0.3,400,2450,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
152,0.3,400,2500,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
153,0.3,400,2550,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
154,0.3,400,2600,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
155,0.3,400,2650,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
156,0.3,400,2700,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
157,0.3,400,2750,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
158,0.3,400,2800,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
159,0.3,400,2850,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
160,0.3,400,2900,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
161,0.3,400,2950,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
162,0.3,400,3000,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
163,0.3,400,3050,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
164,0.3,400,3100,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
165,0.3,400,3150,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
166,0.3,400,3200,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
167,0.3,400,3250,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
168,0.3,400,3300,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
169,0.3,400,3350,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
170,0.3,400,3400,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
171,0.3,400,3450,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
172,0.3,400,3500,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
173,0.3,400,3550,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
174,0.3,400,3600,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
175,0.3,400,3650,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
176,0.3,400,3700,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
177,0.3,400,3750,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
178,0.3,400,3800,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
179,0.3,400,3850,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
