,p_value,batch_size,number_of_epochs,train_score,val_score
199,0.3,400.0,970.0,0.7609270896184244,0.7600095587356733
200,0.3,400.0,980.0,0.7609270896184244,0.7600095587356733
201,0.3,400.0,990.0,0.7609270896184244,0.7600095587356733
202,0.3,400.0,999.0,0.7609270896184244,0.7600095587356733
203,0.3,600.0,0.0,0.06260540852874948,0.06987730084321828
204,0.3,600.0,10.0,0.6250874988205977,0.630677540180838
205,0.3,600.0,20.0,0.6300940006767268,0.6365069459949493
206,0.3,600.0,30.0,0.6306630872650468,0.6374743529433953
207,0.3,600.0,40.0,0.6313301255401653,0.6384405894309713
208,0.3,600.0,50.0,0.6378621092798935,0.6432544574069998
209,0.3,600.0,60.0,0.6390712254284032,0.6442138168874635
210,0.3,600.0,70.0,0.6406026439024781,0.6442138168874635
211,0.3,600.0,80.0,0.6409309540738434,0.6451720546891122
212,0.3,600.0,90.0,0.6418891255183197,0.6457015047708576
213,0.3,600.0,100.0,0.6471685685149043,0.65045247189785
214,0.3,600.0,110.0,0.6484622513184505,0.65045247189785
215,0.3,600.0,120.0,0.6545807657252253,0.654701910709276
216,0.3,600.0,130.0,0.6581374712648504,0.6551507512095748
217,0.3,600.0,140.0,0.6590931351341697,0.6560839380200826
218,0.3,600.0,150.0,0.6654385479999062,0.6629784678487175
219,0.3,600.0,160.0,0.6715657029043952,0.665518794990631
220,0.3,600.0,170.0,0.6789530789738152,0.6685455134434726
221,0.3,600.0,180.0,0.687997986966906,0.6804005159959335
222,0.3,600.0,190.0,0.6895247380560255,0.6832275978371316
223,0.3,600.0,200.0,0.6948523963318464,0.6867284422585509
224,0.3,600.0,210.0,0.6971659395707115,0.692056277056277
225,0.3,600.0,220.0,0.7056428892993118,0.704887673037556
226,0.3,600.0,230.0,0.7094166623503098,0.7090909090909091
227,0.3,600.0,240.0,0.7133503610929964,0.7132796034702654
228,0.3,600.0,250.0,0.7263152252279286,0.7179451420477286
229,0.3,600.0,260.0,0.7314717652754157,0.7242653288970634
